corpus_id,simulation_id,model_order,regularity,regularity_label,regularity_label_readable,dependency,dependency_readable,uncertainty_z,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,early_drop,later_mean_drop,early_minus_later
mid_80__nonadjacent__sim07,7,2-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.271865542710221,2.052842656905629,2.0178271647893813,2.015611901415793,2.0151043789201877,2.0259834557927228,2.008041494113213,2.0132793301878817,2.0023468696890627,2.00618819394184,0.21902288580459173,0.00583180787047366,0.21319107793411807
mid_80__nonadjacent__sim07,7,3-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.855320197857986,2.176908515258882,2.0632743883175872,2.066973809692252,2.049016349826107,2.0364392089559775,2.0379360574844356,2.0205518963217464,2.025557172627751,2.028089805754171,0.678411682599104,0.01860233868808886,0.6598093439110151
high_100__adjacent__sim08,8,2-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.1290048638018146,1.009789429321169,1.0027083338060845,1.0047990346831432,1.0121863547927434,0.9995329255566422,1.0061742996504728,1.0064362615293427,1.004794590179548,1.001913194526249,0.11921543448064553,9.84529349365021e-4,0.11823090513128051
high_100__adjacent__sim08,8,3-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.3988277264377431,1.0582284257891776,1.0273802376073935,1.0173032282224714,1.024603360672743,1.0080851800875597,1.022715707481233,1.0134051857753077,1.0059613152447733,1.01485245776368,0.3405993006485655,0.005421996003187213,0.33517730464537826
high_100__nonadjacent__sim08,8,2-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.270521080940805,2.050727123636394,2.027990422553566,2.006134517886291,2.021906590834492,2.001664118667304,2.0136851088123207,2.013330313549623,2.006281696721603,2.004441923545516,0.21979395730441098,0.0057856500113597775,0.2140083072930512
high_100__nonadjacent__sim08,8,3-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.7965332038525332,2.206841698360819,2.1085116521351397,2.0492072696234835,2.0536138297513267,2.029754702322837,2.039062725259476,2.0207508090312456,2.01612292821176,2.027407578130828,0.5896915054917145,0.022429265028748868,0.5672622404629656
low_60__adjacent__sim08,8,2-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.1320393330274,1.948466037117784,1.9608124832874525,1.9794923965274496,1.983107043977134,1.9454232678477568,2.003334054097506,1.970122492687117,1.9877755445769565,1.9918270002008311,0.18357329590961613,-0.005420120385380894,0.18899341629499702
low_60__adjacent__sim08,8,3-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.4649252345227093,1.9921845296669711,2.021131047490799,1.998785099323706,1.990335378984136,1.966949646314574,2.003234654072413,1.981414547142646,1.999736604540043,2.00222758291887,0.47274070485573816,-0.0012553816564873643,0.4739960865122255
low_60__nonadjacent__sim08,8,2-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.2984288139633406,2.0358146597530276,2.0187265284076235,2.0226624875433212,2.0040192806484742,2.0093859808123575,2.0143429923394716,2.0004101633378815,2.0049827193583223,2.0025747674038046,0.2626141542103131,0.004154986543652872,0.2584591676666602
low_60__nonadjacent__sim08,8,3-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.847639323838073,2.1084600411314596,2.1090047202094784,2.0661546558902235,2.0615683824996496,2.0675245016940034,2.0427498626628995,2.0157826584286305,2.020727421169642,2.031060364932276,0.7391792827066133,0.009674959524897941,0.7295043231817153
mid_80__adjacent__sim08,8,2-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,1.9128904137809055,1.6965808558807196,1.7360056737356475,1.7143023763317744,1.7729582707579372,1.789329808376651,1.713228458495696,1.771145525945791,1.7807640855461442,1.7945821640753887,0.2163095579001859,-0.01225016352433364,0.22855972142451955
mid_80__adjacent__sim08,8,3-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,2.2603229695697085,1.74932348126678,1.7662547021869222,1.7325409875186075,1.7756295193583562,1.8177846136444484,1.7348736256923445,1.7800401577015692,1.778579907801616,1.8027749109366993,0.5109994883029285,-0.006681428708739917,0.5176809170116684
mid_80__nonadjacent__sim08,8,2-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.2672458255542223,2.058907161887044,2.0191525869157805,2.0132232093908247,2.01439126555346,2.001839894256963,2.025482644726942,1.9981099338249129,2.0186489179531057,2.0111171592391437,0.20833866366717846,0.005973750330987515,0.20236491333619094
mid_80__nonadjacent__sim08,8,3-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.7282555460619005,2.262196384027174,2.089965849949199,2.0415891666628765,2.0588563335108754,2.019413362190994,2.066222310416247,2.028510434098747,2.02350635668834,2.0333946711160373,0.4660591620347265,0.028600214113892075,0.43745894792083445
high_100__adjacent__sim09,9,2-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.1281866047820268,1.0112962650788195,1.0128556631245595,1.0034953228803472,1.0026835287283062,1.0040077482977323,1.0013059894423997,1.0035005796365732,0.9983225687698024,0.9966535182731096,0.11689033970320728,0.0018303433507137479,0.11505999635249353
high_100__adjacent__sim09,9,3-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.3869906297471228,1.0695622010703385,1.0390436884846692,1.0168365202673115,1.0171653558755245,1.0189997423809638,1.0073911654637686,1.0118682920051003,1.0041745444592396,1.0021329790185696,0.31742842867678434,0.008428652756471117,0.30899977592031325
high_100__nonadjacent__sim09,9,2-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.293517833907138,2.0395000941351724,2.0236169719788464,2.004104194456684,2.0069168998538545,1.9990102318837848,2.008625494896201,1.9896219285720849,2.002048103877096,2.0125581785016253,0.2540177397719656,0.003367739454193386,0.25065000031777224
high_100__nonadjacent__sim09,9,3-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.804244605410257,2.193395944099224,2.064036359385192,2.0712795898373755,2.029203218865209,2.027557607937033,2.040415734477719,1.995662613900714,2.01920328762147,2.0551991482900194,0.6108486613110333,0.017274599476150565,0.5935740618348828
low_60__adjacent__sim09,9,2-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.1550456127798383,1.9836311718163784,1.9829370916651283,1.99572435919313,1.9725239411399385,1.9647097094557913,1.9981679633851297,1.9703494466423088,1.9683547663077612,1.9878797427231136,0.17141444096345992,-5.310713633419062e-4,0.17194551232680183
low_60__adjacent__sim09,9,3-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.4876822214637717,2.0415613219962694,2.0342235651633507,2.010545086437736,2.004545892862591,1.9844176202891888,2.0117085363803007,1.9793119551460432,1.9612968630783776,1.9887209863126103,0.44612089946750233,0.006605041960457386,0.4395158575070449
low_60__nonadjacent__sim09,9,2-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.2760625456428687,2.05058039502768,2.018806414511484,2.002442516694397,2.023625875843149,2.0128142129679825,2.0120640251273856,1.9994886563883632,2.004471491233065,2.012749286645503,0.22548215061518873,0.004728888547772148,0.22075326206741658
low_60__nonadjacent__sim09,9,3-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.802640303541464,2.1713382343942977,2.0802018660679087,2.066693160287135,2.054391264105933,2.0336495686223484,2.060141192249004,2.037930167769958,2.0213670770959986,2.0339654251880503,0.6313020691471665,0.017171601150780924,0.6141304679963855
mid_80__adjacent__sim09,9,2-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,1.798532900924019,1.7678636999601849,1.7405892838639596,1.8137963557982897,1.6509409964443356,1.7616365980053883,1.7351731714534568,1.7198384760365475,1.6644191843635665,1.730779822401479,0.030669200963834076,0.004635484694838238,0.026033716268995838
mid_80__adjacent__sim09,9,3-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,2.125476190145151,1.841389572500365,1.7719230189697956,1.823274103630727,1.6848650346016272,1.7868642913811037,1.7500912162652644,1.721568932639771,1.6671463944750706,1.7412721924921293,0.28408661764478604,0.012514672501029472,0.2715719451437566
mid_80__nonadjacent__sim09,9,2-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.299129920240368,2.0482551826238176,2.0209153439117684,2.0178970963502723,2.0036774652654388,1.999566630877704,2.0177561392437955,2.004926920140025,2.012266772399836,1.9967194093559617,0.25087473761655055,0.006441971658481982,0.24443276595806857
mid_80__nonadjacent__sim09,9,3-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.8365480044199103,2.1778986537684286,2.1121290397822894,2.083089567760712,2.03260010099516,2.0301372809595613,2.0340935335363532,2.0210172878835935,2.028920779281977,1.9930759136887184,0.6586493506514817,0.023102842509963778,0.6355465081415179
high_100__adjacent__sim10,10,2-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.1310229588247809,1.0131710069117197,1.0084172970794882,1.005861008291791,1.0039815698953547,1.00387773180969,1.0037818828619804,1.0025287237583065,1.0024219283358071,1.0005488470585306,0.11785195191306119,0.0015777699816486301,0.11627418193141256
