model_order,regularity_label,dependency,exposure_block,mean,sd,n_corpora,se,critical_t,ci95
2-그램,100% 규칙,비인접,7,2.010369411233518,0.006139677735414731,30,0.001120946663832961,2.0452296421327034,0.0022925933441209348
2-그램,100% 규칙,비인접,8,2.0056727434095594,0.006569667802247188,30,0.001199451750202058,2.0452296421327034,0.0024531542738212
2-그램,100% 규칙,비인접,9,2.005710888115724,0.005380694939983859,30,9.823759978943552e-4,2.0452296421327034,0.0020091845106132294
2-그램,100% 규칙,비인접,10,2.005411188652008,0.005260083658708946,30,9.603554914130652e-4,2.0452296421327034,0.00196414751802292
2-그램,80% 규칙,인접,1,1.8867362322288705,0.04738061368814526,30,0.0086504769684784,2.0452296421327034,0.017692211914518273
2-그램,80% 규칙,인접,2,1.7460760202841714,0.04114711813642103,30,0.007512401593215911,2.0452296421327034,0.015364586422050127
2-그램,80% 규칙,인접,3,1.7322178981986682,0.0512678321667355,30,0.009360182717369997,2.0452296421327034,0.019143723149343355
2-그램,80% 규칙,인접,4,1.7255868908791463,0.045582576770139896,30,0.0083222018420722,2.0452296421327034,0.01702081389521745
2-그램,80% 규칙,인접,5,1.7169859813252975,0.04882532603281008,30,0.008914244148571435,2.0452296421327034,0.0182316763698663
2-그램,80% 규칙,인접,6,1.722168300920997,0.054778778591913525,30,0.010001190902457373,2.0452296421327034,0.02045473209033374
2-그램,80% 규칙,인접,7,1.731929629019849,0.04334502778571692,30,0.00791368315797512,2.0452296421327034,0.016185299373137056
2-그램,80% 규칙,인접,8,1.7266876976852195,0.04657782148233044,30,0.008503907835107032,2.0452296421327034,0.017392444378325447
2-그램,80% 규칙,인접,9,1.7407602717767912,0.04346460855829539,30,0.007935515520170161,2.0452296421327034,0.016229951567456134
2-그램,80% 규칙,인접,10,1.7152224807751522,0.052360992165804185,30,0.009559765514187411,2.0452296421327034,0.01955191580145408
2-그램,80% 규칙,비인접,1,2.2890499523157453,0.011689104250986094,30,0.0021341286917648705,2.0452296421327034,0.0043647832605234
2-그램,80% 규칙,비인접,2,2.0373746640858026,0.013358441519142462,30,0.0024389065843826354,2.0452296421327034,0.004988124040771992
2-그램,80% 규칙,비인접,3,2.0245552464400824,0.010880278009129666,30,0.0019864578991759057,2.0452296421327034,0.004062762578243219
2-그램,80% 규칙,비인접,4,2.0142814816980508,0.009567953238023721,30,0.0017468612725400625,2.0452296421327034,0.003572732455292591
2-그램,80% 규칙,비인접,5,2.0137066559605885,0.007166934719371934,30,0.0013084972713223219,2.0452296421327034,0.0026761774059581712
2-그램,80% 규칙,비인접,6,2.00874510337584,0.007459466462941783,30,0.0013619060162354962,2.0452296421327034,0.0027854105542036997
2-그램,80% 규칙,비인접,7,2.009340015907663,0.007035845019101336,30,0.001284563676024056,2.0452296421327034,0.00262722770741135
2-그램,80% 규칙,비인접,8,2.0077865910101322,0.006587819024058119,30,0.0012027656947461002,2.0452296421327034,0.002459932051435059
2-그램,80% 규칙,비인접,9,2.008397952331662,0.006538076394177883,30,0.0011936839745944215,2.0452296421327034,0.002441357848179292
2-그램,80% 규칙,비인접,10,2.006992402442174,0.0060125303137699565,30,0.0010977328268451398,2.0452296421327034,0.002245115716605806
2-그램,60% 규칙,인접,1,2.140644320970591,0.019808460585876243,30,0.003616513564112139,2.0452296421327034,0.007396600742497138
2-그램,60% 규칙,인접,2,1.9857558527202241,0.015875644576155888,30,0.002898482883098374,2.0452296421327034,0.005928063109727054
2-그램,60% 규칙,인접,3,1.9859404235222766,0.019771857640330515,30,0.0036098308111299627,2.0452296421327034,0.00738293297800694
2-그램,60% 규칙,인접,4,1.9781399336577563,0.0176268777341912,30,0.0032182128511340237,2.0452296421327034,0.006581984317831706
2-그램,60% 규칙,인접,5,1.9804007916152786,0.01736370804097293,30,0.0031701648586582366,2.0452296421327034,0.006483715139375257
2-그램,60% 규칙,인접,6,1.9779147950678682,0.020362731208132145,30,0.0037177090717028,2.0452296421327034,0.007603568794272222
2-그램,60% 규칙,인접,7,1.9730171569815096,0.016822191512230987,30,0.0030712979193069515,2.0452296421327034,0.006281509544387073
2-그램,60% 규칙,인접,8,1.9744706707705297,0.018321025611688337,30,0.0033449463347171955,2.0452296421327034,0.0068411833951067475
2-그램,60% 규칙,인접,9,1.9719007660484045,0.019520061873422482,30,0.0035638594039900154,2.0452296421327034,0.007288910893433769
2-그램,60% 규칙,인접,10,1.976302486308541,0.015817019659205445,30,0.0028877794866164993,2.0452296421327034,0.005906172205970825
2-그램,60% 규칙,비인접,1,2.290550516627083,0.012440209511362389,30,0.0022712611231545,2.0452296421327034,0.0046452505740992005
2-그램,60% 규칙,비인접,2,2.0383684355224436,0.011307773439657146,30,0.002064507529352667,2.0452296421327034,0.0042223919954382265
2-그램,60% 규칙,비인접,3,2.0206770405949066,0.008371992377663095,30,0.001528509692169129,2.0452296421327034,0.0031261533307114365
2-그램,60% 규칙,비인접,4,2.0162228062016627,0.008095155428349375,30,0.001477966411539116,2.0452296421327034,0.003022780714956302
2-그램,60% 규칙,비인접,5,2.01170434687906,0.008917497503722597,30,0.0016281048464282916,2.0452296421327034,0.003329848292415055
2-그램,60% 규칙,비인접,6,2.0107037677358415,0.006380518173004595,30,0.001164917910642089,2.0452296421327034,0.002382524641496496
2-그램,60% 규칙,비인접,7,2.0100993356725665,0.006110536583574693,30,0.0011156262417614702,2.0452296421327034,0.0022817118591916645
